   Data from
     Borysow A, 2002, Collision-induced absorption coefficients
       of H2 pairs at temperatures from 60 K to 1000 K,
       Astron. Astrophys. 390, 779-782, doi: 10.1051/0004-6361:20020555
  
   No. temperatures:    7
   No. rows:         1649
   What follows was obtained in August 2011 from the link
     http://www.astro.ku.dk/~aborysow/programs/final_CIA_LT.dat

     CIA spectra of H2-H2 from 60 to 350K, in  cm^{-1}/amagat^{2}
     freq  60K       100K     150K       200K      250K      300K      350K
   (cm^-1) 
  1660.0 6.035E-09 1.086E-08 2.031E-08 3.856E-08 6.783E-08 1.108E-07 1.680E-07
  1670.0 5.913E-09 1.061E-08 1.951E-08 3.677E-08 6.468E-08 1.058E-07 1.606E-07
  1680.0 5.738E-09 1.032E-08 1.870E-08 3.497E-08 6.152E-08 1.008E-07 1.533E-07
  1690.0 5.520E-09 9.989E-09 1.789E-08 3.319E-08 5.840E-08 9.591E-08 1.461E-07
  1700.0 5.273E-09 9.628E-09 1.709E-08 3.148E-08 5.538E-08 9.116E-08 1.393E-07
  1710.0 5.008E-09 9.245E-09 1.631E-08 2.983E-08 5.249E-08 8.662E-08 1.327E-07
  1720.0 4.735E-09 8.846E-09 1.555E-08 2.827E-08 4.976E-08 8.231E-08 1.264E-07
  1730.0 4.461E-09 8.440E-09 1.481E-08 2.679E-08 4.718E-08 7.825E-08 1.205E-07
  1740.0 4.192E-09 8.032E-09 1.410E-08 2.540E-08 4.477E-08 7.445E-08 1.150E-07
  1750.0 3.932E-09 7.629E-09 1.341E-08 2.410E-08 4.252E-08 7.090E-08 1.098E-07
  1760.0 3.684E-09 7.233E-09 1.275E-08 2.287E-08 4.044E-08 6.761E-08 1.050E-07
  1770.0 3.448E-09 6.848E-09 1.213E-08 2.173E-08 3.852E-08 6.456E-08 1.005E-07
  1780.0 3.226E-09 6.477E-09 1.152E-08 2.067E-08 3.675E-08 6.175E-08 9.628E-08
  1790.0 3.017E-09 6.121E-09 1.095E-08 1.968E-08 3.512E-08 5.915E-08 9.239E-08
  1800.0 2.822E-09 5.781E-09 1.041E-08 1.875E-08 3.361E-08 5.674E-08 8.875E-08
  1810.0 2.640E-09 5.457E-09 9.897E-09 1.789E-08 3.221E-08 5.449E-08 8.533E-08
  1820.0 2.471E-09 5.151E-09 9.411E-09 1.709E-08 3.090E-08 5.237E-08 8.209E-08
  1830.0 2.313E-09 4.860E-09 8.949E-09 1.633E-08 2.965E-08 5.034E-08 7.898E-08
  1840.0 2.167E-09 4.586E-09 8.509E-09 1.560E-08 2.844E-08 4.837E-08 7.596E-08
  1850.0 2.031E-09 4.327E-09 8.090E-09 1.490E-08 2.726E-08 4.644E-08 7.301E-08
  1860.0 1.904E-09 4.084E-09 7.689E-09 1.422E-08 2.608E-08 4.452E-08 7.009E-08
  1870.0 1.786E-09 3.855E-09 7.304E-09 1.355E-08 2.492E-08 4.262E-08 6.721E-08
  1880.0 1.677E-09 3.639E-09 6.938E-09 1.290E-08 2.377E-08 4.074E-08 6.439E-08
  1890.0 1.575E-09 3.437E-09 6.589E-09 1.228E-08 2.265E-08 3.890E-08 6.163E-08
  1900.0 1.480E-09 3.247E-09 6.259E-09 1.168E-08 2.156E-08 3.712E-08 5.895E-08
  1910.0 1.392E-09 3.068E-09 5.948E-09 1.111E-08 2.051E-08 3.540E-08 5.638E-08
  1920.0 1.309E-09 2.901E-09 5.654E-09 1.057E-08 1.952E-08 3.376E-08 5.392E-08
  1930.0 1.232E-09 2.744E-09 5.379E-09 1.006E-08 1.858E-08 3.221E-08 5.159E-08
  1940.0 1.161E-09 2.598E-09 5.120E-09 9.587E-09 1.770E-08 3.075E-08 4.939E-08
  1950.0 1.094E-09 2.460E-09 4.878E-09 9.140E-09 1.687E-08 2.938E-08 4.733E-08
  1960.0 1.031E-09 2.332E-09 4.651E-09 8.723E-09 1.609E-08 2.811E-08 4.541E-08
  1970.0 9.726E-10 2.212E-09 4.440E-09 8.333E-09 1.538E-08 2.693E-08 4.362E-08
  1980.0 9.178E-10 2.100E-09 4.242E-09 7.970E-09 1.471E-08 2.583E-08 4.196E-08
  1990.0 8.665E-10 1.995E-09 4.057E-09 7.631E-09 1.409E-08 2.482E-08 4.042E-08
  2000.0 8.184E-10 1.898E-09 3.884E-09 7.315E-09 1.352E-08 2.389E-08 3.900E-08
  2010.0 7.734E-10 1.807E-09 3.722E-09 7.021E-09 1.299E-08 2.303E-08 3.767E-08
  2020.0 7.311E-10 1.722E-09 3.570E-09 6.746E-09 1.250E-08 2.222E-08 3.643E-08
  2030.0 6.914E-10 1.643E-09 3.428E-09 6.488E-09 1.204E-08 2.147E-08 3.526E-08
  2040.0 6.541E-10 1.568E-09 3.293E-09 6.245E-09 1.161E-08 2.075E-08 3.413E-08
  2050.0 6.191E-10 1.498E-09 3.165E-09 6.015E-09 1.120E-08 2.005E-08 3.303E-08
  2060.0 5.861E-10 1.431E-09 3.044E-09 5.794E-09 1.080E-08 1.937E-08 3.194E-08
  2070.0 5.551E-10 1.368E-09 2.926E-09 5.579E-09 1.041E-08 1.869E-08 3.084E-08
  2080.0 5.259E-10 1.308E-09 2.813E-09 5.371E-09 1.003E-08 1.800E-08 2.974E-08
  2090.0 4.985E-10 1.249E-09 2.704E-09 5.166E-09 9.642E-09 1.731E-08 2.863E-08
  2100.0 4.726E-10 1.193E-09 2.597E-09 4.966E-09 9.261E-09 1.662E-08 2.751E-08
  2110.0 4.482E-10 1.139E-09 2.494E-09 4.770E-09 8.884E-09 1.594E-08 2.640E-08
