 LIMAYE.DAT
 S. S. Limaye:  "Jupiter:  New Estimates of the Mean Zonal Flow 
 at the Cloud Level,"  Icarus 65, 335-352 (1986).
  Latitude          North           South
  gra   cen     [u]  rms  N     [u]  rms  N
 11.74 10.19   49.9  4.7 126   30.7  6.3 124
 11.61 10.08   50.8  4.6 126   32.2  6.4 124
 11.48  9.96   51.6  4.6 126   33.7  6.4 124
 11.35  9.85   52.4  5.0 126   35.4  6.2 124
 11.22  9.74   53.3  5.0 126   37.3  6.3 124
 11.09  9.62   54.4  4.8 126   39.3  7.1 124
 10.96  9.51   55.8  5.3 126   41.7  7.0 124
 10.83  9.39   57.3  6.0 127   44.3  7.0 124
 10.70  9.28   59.1  5.5 126   47.0  6.7 124
 10.57  9.17   60.9  5.6 126   49.6  7.2 124
 10.44  9.06   63.0  5.4 126   52.4  7.0 124
 10.31  8.94   65.2  5.6 126   55.3  7.1 124
 10.18  8.83   67.5  5.9 126   58.3  6.7 124
 10.05  8.72   69.9  6.2 126   61.4  7.7 124
  9.92  8.60   72.3  6.3 127   64.6  8.0 124
  9.79  8.49   74.5  6.2 127   67.9  8.3 124
  9.66  8.38   76.7  6.8 127   71.3  8.4 123
  9.53  8.26   79.3  5.7 126   75.1  8.4 123
  9.40  8.15   82.1  6.0 126   78.7  8.6 124
  9.27  8.04   85.0  6.1 126   82.0  8.4 124
  9.14  7.93   87.8  6.1 126   85.0  7.3 124
  9.02  7.81   90.4  5.9 125   87.7  7.3 124
  8.89  7.70   92.8  6.3 125   90.0  7.2 123
  8.76  7.59   95.1  6.7 126   92.0  7.7 123
  8.63  7.48   96.8  6.4 126   93.7  7.7 124
  8.50  7.36   98.0  6.8 126   95.4  7.4 124
  8.37  7.25   99.2  7.1 127   97.3  7.3 124
  8.24  7.14  100.2  6.9 127   99.2  6.7 123
  8.11  7.03  100.9  7.3 127  101.1  7.7 125
  7.98  6.91  101.5  6.5 127  103.5  9.2 125
  7.85  6.80  102.1  6.6 127  106.1 10.0 122
  7.72  6.69  102.5  6.3 127  108.8  9.6 121
  7.59  6.58  102.7  6.4 126  112.0 10.9 120
  7.46  6.46  102.8  6.7 126  116.3 10.9 120
  7.34  6.35  103.0  6.1 126  120.6 11.8 120
  7.21  6.24  103.1  6.2 126  124.0 10.9 121
  7.08  6.13  103.2  6.1 126  126.4 10.5 124
  6.95  6.02  103.2  5.8 126  128.1  9.7 123
  6.82  5.90  103.0  6.3 126  128.4  9.3 119
  6.69  5.79  102.8  6.0 126  127.6  8.7 121
  6.56  5.68  102.7  6.6 126  126.2  9.5 121
  6.43  5.57  102.7  6.6 126  124.1 10.2 124
  6.30  5.46  102.7  5.9 127  121.5 10.1 123
  6.17  5.34  102.6  6.0 126  118.4  9.7 122
  6.04  5.23  102.4  6.0 126  115.3  9.3 123
  5.92  5.12  102.2  6.2 126  112.6  9.3 124
  5.79  5.01  102.2  6.3 126  110.2  9.6 122
  5.66  4.90  102.3  6.9 126  108.1  9.3 122
  5.53  4.79  102.2  7.1 126  106.1  8.2 123
  5.40  4.67  101.9  6.9 125  104.5  8.1 121
  5.27  4.56  101.7  7.1 124  102.9  9.3 123
  5.14  4.45  101.4  7.2 125  101.3  9.3 120
  5.01  4.34  101.3  7.2 126  100.1  8.8 122
  4.89  4.23  101.2  6.6 126   99.1  9.1 120
  4.76  4.12  100.9  6.1 126   97.6  9.9 120
  4.63  4.00  100.6  6.2 126   96.3  9.9 123
  4.50  3.89  100.3  6.6 126   95.3  8.6 119
  4.37  3.78  100.0  6.8 126   94.4  9.8 120
  4.24  3.67   99.6  7.0 126   93.5  9.9 119
  4.11  3.56   99.3  7.2 125   92.9  8.9 122
  3.98  3.45   98.9  6.4 124   92.4  8.9 122
  3.86  3.34   98.5  6.3 126   91.9  8.7 123
  3.73  3.22   97.9  6.9 126   91.3  8.8 123
  3.60  3.11   97.7  7.0 126   90.6  9.6 114
  3.47  3.00   97.5  6.3 126   90.0  9.3 117
  3.34  2.89   97.3  6.5 125   89.7 10.4 118
  3.21  2.78   97.0  6.7 125   88.9  9.9 114
  3.08  2.67   96.7  6.8 125   87.8 10.8 117
  2.96  2.56   96.4  6.9 126   86.7 10.6 118
  2.83  2.45   95.9  7.0 126   86.0 10.6 111
  2.70  2.33   95.2  6.8 126   85.5 10.6 114
  2.57  2.22   94.5  6.9 126   85.2 11.3 113
  2.44  2.11   93.9  7.3 126   84.8 10.9 118
  2.31  2.00   93.3  7.3 126   84.5 11.0 116
  2.18  1.89   92.9  8.4 126   84.8 11.3 120
  2.06  1.78   92.4  7.9 125   85.6 10.4 117
  1.93  1.67   92.0  8.4 125   86.5 11.0 117
  1.80  1.56   91.4  8.4 124   86.9 10.9 114
  1.67  1.44   90.7  8.6 124   86.3 11.6 115
  1.54  1.33   90.2  8.7 123   85.7 11.0 118
  1.41  1.22   89.7  9.6 122   86.0  9.9 115
  1.28  1.11   88.9  8.9 122   86.4 10.7 118
  1.16  1.00   88.1  9.0 122   86.7 10.4 118
  1.03  0.89   87.3  9.4 123   86.8 10.5 119
  0.90  0.78   86.6 10.4 125   86.6 10.0 121
  0.77  0.67   86.1  9.7 126   86.2 11.1 115
  0.64  0.56   85.8  9.8 126   86.0 10.5 116
  0.51  0.44   85.6  9.9 124   85.8 11.2 122
  0.39  0.33   85.7  9.3 122   85.6 11.3 123
  0.26  0.22   85.6  9.9 118   85.4 10.9 118
  0.13  0.11   85.2  9.3 121   85.1 10.9 118
  0.00  0.00   84.9  9.7 123   84.9  9.7 123
